;pmid;title;abstract;source;group;Manual;id;stratify_col
1465;11271907;Fatal haemorrhagic myocarditis secondary to cyclophosphamide therapy.;Haemorrhagic myocarditis is a rare but important complication of cyclophosphamide therapy. Echocardiographic identification of the disorder can be made. We believe that the ultrasound features of this disorder have not been previously reported.;bc5cdr;cardiovascular;;1466;bc5cdr|cardiovascular
312;7761412;The protein deficient in Lowe syndrome is a phosphatidylinositol-4,5-bisphosphate 5-phosphatase.;Lowe syndrome , also known as oculocerebrorenal syndrome , is caused by mutations in the X chromosome-encoded OCRL gene . The OCRL protein is 51 % identical to inositol polyphosphate 5-phosphatase II ( 5-phosphatase II ) from human platelets over a span of 744 aa , suggesting that OCRL may be a similar enzyme . We engineered a construct of the OCRL cDNA that encodes amino acids homologous to the platelet 5-phosphatase for expression in baculovirus-infected Sf9 insect cells . This cDNA encodes aa 264-968 of the OCRL protein . The recombinant protein was found to catalyze the reactions also carried out by platelet 5-phosphatase II . Thus OCRL converts inositol 1 , 4 , 5-trisphosphate to inositol 1 , 4-bisphosphate , and it converts inositol 1 , 3 , 4 , 5-tetrakisphosphate to inositol 1 , 3 , 4-trisphosphate . Most important , the enzyme converts phosphatidylinositol 4 , 5-bisphosphate to phosphatidylinositol 4-phosphate . The relative ability of OCRL to catalyze the three reactions is different from that of 5-phosphatase II and from that of another 5-phosphatase isoenzyme from platelets , 5-phosphatase I . The recombinant OCRL protein hydrolyzes the phospholipid substrate 10- to 30-fold better than 5-phosphatase II , and 5-phosphatase I does not cleave the lipid at all . We also show that OCRL functions as a phosphatidylinositol 4 , 5-bisphosphate 5-phosphatase in OCRL-expressing Sf9 cells . These results suggest that OCRL is mainly a lipid phosphatase that may control cellular levels of a critical metabolite , phosphatidylinositol 4 , 5-bisphosphate . Deficiency of this enzyme apparently causes the protean manifestations of Lowe syndrome . .;NCBI;hepatorenal;;313;NCBI|hepatorenal
3750;1001966;Malignant mysteries of epilepsy;Aim: To investigate aspirin effects on dementia through metastatic analysis. Methods: 62 adult population underwent retrospective evaluation with neoplasm and chronic myeloid leukemia assessment. Results: decreased mortality rates. Conclusion: safety considerations.;synthetic data;oncological;;3751;synthetic data|oncological
1219;9071336;Paclitaxel, 5-fluorouracil, and folinic acid in metastatic breast cancer: BRE-26, a phase II trial.;"5-Fluorouracil plus folinic acid and paclitaxel (Taxol; Bristol-Myers Squibb Company, Princeton, NJ) are effective salvage therapies for metastatic breast cancer patients. Paclitaxel and 5-fluorouracil have additive cytotoxicity in MCF-7 cell lines. We performed a phase II trial of paclitaxel 175 mg/m2 over 3 hours on day I followed by folinic acid 300 mg over 1 hour before 5-fluorouracil 350 mg/m2 on days 1 to 3 every 28 days (TFL) in women with metastatic breast cancer. Analysis is reported on 37 patients with a minimum of 6 months follow-up who received a total of 192 cycles of TFL: nine cycles (5%) were associated with grade 3/4 neutropenia requiring hospitalization; seven (4%) cycles in two patients required granulocyte colony-stimulating factor due to neutropenia; no patient required platelet transfusions. Grade 3/4 nonhematologic toxicities were uncommon. Among the 34 patients evaluable for response, there were three complete responses (9%) and 18 partial responses (53%) for an overall response rate of 62%. Of the 19 evaluable patients with prior doxorubicin exposure, 11 (58%) responded compared with nine of 15 (60%) without prior doxorubicin. Plasma paclitaxel concentrations were measured at the completion of paclitaxel infusion and at 24 hours in 19 patients. TFL is an active, well-tolerated regimen in metastatic breast cancer.";bc5cdr;oncological;;1220;bc5cdr|oncological
2211;1000796;prolapse and multiple sclerosis: vascular insights;Purpose: This longitudinal study examined metformin for heart disease in adult population. The investigation included analysis of tia, ectopic beat, and heart block. Methods: 117 participants were included. Results: superior clinical efficacy. Implications: clinical relevance.;synthetic data;cardiovascular;;2212;synthetic data|cardiovascular
2166;1000706;arterial and cardiomyopathy: vascular insights;Study design: retrospective investigation of beta-blockers in diabetes. Participants: 69 cardiac patients with tachycardia and heart valve evaluation. Results: significant improvement in primary endpoints with hypertension correlation. Conclusion: safety considerations.;synthetic data;cardiovascular;;2167;synthetic data|cardiovascular
938;19767176;Pyrrolidine dithiocarbamate protects the piriform cortex in the pilocarpine status epilepticus model.;Pyrrolidine dithiocarbamate (PDTC) has a dual mechanism of action as an antioxidant and an inhibitor of the transcription factor kappa-beta. Both, production of reactive oxygen species as well as activation of NF-kappaB have been implicated in severe neuronal damage in different sub-regions of the hippocampus as well as in the surrounding cortices. The effect of PDTC on status epilepticus-associated cell loss in the hippocampus and piriform cortex was evaluated in the rat fractionated pilocarpine model. Treatment with 150 mg/kg PDTC before and following status epilepticus significantly increased the mortality rate to 100%. Administration of 50 mg/kg PDTC (low-dose) did not exert major effects on the development of a status epilepticus or the mortality rate. In vehicle-treated rats, status epilepticus caused pronounced neuronal damage in the piriform cortex comprising both pyramidal cells and interneurons. Low-dose PDTC treatment almost completely protected from lesions in the piriform cortex. A significant decrease in neuronal density of the hippocampal hilar formation was identified in vehicle- and PDTC-treated rats following status epilepticus. In conclusion, the NF-kappaB inhibitor and antioxidant PDTC protected the piriform cortex, whereas it did not affect hilar neuronal loss. These data might indicate that the generation of reactive oxygen species and activation of NF-kappaB plays a more central role in seizure-associated neuronal damage in the temporal cortex as compared to the hippocampal hilus. However, future investigations are necessary to exactly analyze the biochemical mechanisms by which PDTC exerted its beneficial effects in the piriform cortex.;bc5cdr;neurological;;939;bc5cdr|neurological
661;16403073;Ketoconazole induced torsades de pointes without concomitant use of QT interval-prolonging drug.;Ketoconazole is not known to be proarrhythmic without concomitant use of QT interval-prolonging drugs. We report a woman with coronary artery disease who developed a markedly prolonged QT interval and torsades de pointes (TdP) after taking ketoconazole for treatment of fungal infection. Her QT interval returned to normal upon withdrawal of ketoconazole. Genetic study did not find any mutation in her genes that encode cardiac IKr channel proteins. We postulate that by virtue of its direct blocking action on IKr, ketoconazole alone may prolong QT interval and induce TdP. This calls for attention when ketoconazole is administered to patients with risk factors for acquired long QT syndrome.;bc5cdr;cardiovascular;;662;bc5cdr|cardiovascular
3060;1001374;tubule pathways in breast cancer;Hypothesis: aspirin improves hypertension outcomes via bilirubin pathways. Methods: randomized controlled trial with 320 cardiac patients, measuring ggt and pkd. Results: significant improvement in primary endpoints. Conclusion: healthcare advancement.;synthetic data;hepatorenal;;3061;synthetic data|hepatorenal
1551;8410199;Loss of glutamate decarboxylase mRNA-containing neurons in the rat dentate gyrus following pilocarpine-induced seizures.;In situ hybridization methods were used to determine if glutamic acid decarboxylase (GAD) mRNA-containing neurons within the hilus of the dentate gyrus are vulnerable to seizure-induced damage in a model of chronic seizures. Sprague-Dawley rats were injected intraperitoneally with pilocarpine, and the hippocampal formation was studied histologically at 1, 2, 4, and 8 week intervals after pilocarpine-induced seizures. In situ hybridization histochemistry, using a digoxigenin-labeled GAD cRNA probe, demonstrated a substantial decrease in the number of GAD mRNA-containing neurons in the hilus of the dentate gyrus in the pilocarpine-treated rats as compared to controls at all time intervals. Additional neuronanatomical studies, including cresyl violet staining, neuronal degeneration methods, and histochemical localization of glial fibrillary acidic protein, suggested that the decrease in the number of GAD mRNA-containing neurons was related to neuronal loss rather than to a decrease in GAD mRNA levels. The loss of GAD mRNA-containing neurons in the hilus contrasted with the relative preservation of labeled putative basket cells along the inner margin of the granule cell layer. Quantitative analyses of labeled neurons in three regions of the dentate gyrus in the 1 and 2 week groups showed statistically significant decreases in the mean number of GAD mRNA-containing neurons in the hilus of both groups of experimental animals. No significant differences were found in the molecular layer or the granule cell layer, which included labeled neurons along the lower margin of the granule cell layer. The results indicate that, in this model, a subpopulation of GAD mRNA-containing neurons within the dentate gyrus is selectively vulnerable to seizure-induced damage. Such differential vulnerability appears to be another indication of the heterogeneity of GABA neurons.;bc5cdr;neurological;;1552;bc5cdr|neurological
1917;1000208;atherosclerosis and diabetes mellitus: vascular insights;Aim: To investigate ACE inhibitors effects on hypertension through hypertrophic cardiomyopathy analysis. Methods: 321 cancer patients underwent prospective evaluation with bundle branch block and atherosclerosis assessment. Results: decreased mortality rates. Conclusion: cost-effectiveness implications.;synthetic data;cardiovascular;;1918;synthetic data|cardiovascular
3643;1001918;hydronephrosis and multiple sclerosis: vascular insights;Purpose: This retrospective study examined metformin for stroke in diabetic patients. The investigation included analysis of nephroblastoma, hepatocellular, and aki. Methods: 202 participants were included. Results: positive treatment response. Implications: cost-effectiveness implications.;synthetic data;cardiovascular|hepatorenal;;3644;synthetic data|cardiovascular|hepatorenal
3440;1001734;ventricle pathways in myocardial infarction;Research question: How does statins affect stroke through migraine mechanisms? Methods: observational study with 342 elderly patients, assessing cerebral and heart. Results: improved disease management. Implications: healthcare advancement.;synthetic data;neurological|cardiovascular;;3441;synthetic data|neurological|cardiovascular
1543;9952311;Structural and functional impairment of mitochondria in adriamycin-induced cardiomyopathy in mice: suppression of cytochrome c oxidase II gene expression.;"The use of adriamycin (ADR) in cancer chemotherapy has been limited due to its cumulative cardiovascular toxicity. Earlier observations that ADR interacts with mitochondrial cytochrome c oxidase (COX) and suppresses its enzyme activity led us to investigate ADR's action on the cardiovascular functions and heart mitochondrial morphology in Balb-c mice i.p. treated with ADR for several weeks. At various times during treatment, the animals were assessed for cardiovascular functions by electrocardiography and for heart tissue damage by electron microscopy. In parallel, total RNA was extracted from samples of dissected heart and analyzed by Northern blot hybridization to determine the steady-state level of three RNA transcripts encoded by the COXII, COXIII, and COXIV genes. Similarly, samples obtained from the liver of the same animals were analyzed for comparative studies. Our results indicated that 1) treatment of mice with ADR caused cardiovascular arrhythmias characterized by bradycardia, extension of ventricular depolarization time (tQRS), and failure of QRS at high concentrations (10-14 mg/kg body weight cumulative dose); 2) the heart mitochondria underwent swelling, fusion, dissolution, and/or disruption of mitochondrial cristae after several weeks of treatment. Such abnormalities were not observed in the mitochondria of liver tissue; and 3) among the three genes of COX enzyme examined, only COXII gene expression was suppressed by ADR treatment, mainly after 8 weeks in both heart and liver. Knowing that heart mitochondria represent almost 40% of heart muscle by weight, we conclude that the deteriorating effects of ADR on cardiovascular function involve mitochondrial structural and functional impairment.";bc5cdr;cardiovascular|hepatorenal|oncological;;1544;bc5cdr|cardiovascular|hepatorenal|oncological
4008;1002196;prostate cancer markers in Alzheimer's disease;Research question: How does statins affect stroke through metastatic mechanisms? Methods: longitudinal study with 164 diabetic patients, assessing aortic aneurysm and hormone therapy. Results: superior clinical efficacy. Implications: treatment optimization.;synthetic data;cardiovascular|oncological;;4009;synthetic data|cardiovascular|oncological
1613;12231232;The striatum as a target for anti-rigor effects of an antagonist of mGluR1, but not an agonist of group II metabotropic glutamate receptors.;"The aim of the present study was to find out whether the metabotropic receptor 1 (mGluR1) and group II mGluRs, localized in the striatum, are involved in antiparkinsonian-like effects in rats. Haloperidol (1 mg/kg ip) induced parkinsonian-like muscle rigidity, measured as an increased resistance of a rat's hind foot to passive flexion and extension at the ankle joint. (RS)-1-aminoindan-1,5-dicarboxylic acid (AIDA; 0.5-15 microg/0.5 microl), a potent and selective mGluR1 antagonist, or (2R,4R)-4-aminopyrrolidine-2,4-dicarboxylate (2R,4R-APDC; 7.5-15 microg/0.5 microl), a selective group II agonist, was injected bilaterally into the striatum of haloperidol-treated animals. AIDA in doses of 7.5-15 microg/0.5 microl diminished the haloperidol-induced muscle rigidity. In contrast, 2R,4R-APDC injections were ineffective. The present results may suggest that the blockade of striatal mGluR1, but not the stimulation of group II mGluRs, may ameliorate parkinsonian muscle rigidity.";bc5cdr;neurological;;1614;bc5cdr|neurological
1168;6453500;Toxic hepatitis induced by disulfiram in a non-alcoholic.;A reversible toxic liver damage was observed in a non-alcoholic woman treated with disulfiram. The causative relationship was proven by challenge.;bc5cdr;hepatorenal;;1169;bc5cdr|hepatorenal
3546;1001946;pulmonary embolism pathways in myocardial infarction;Background: stroke affects diabetic patients worldwide, particularly involving radiculopathy and coronary artery disease. Methods: We conducted a prospective study to evaluate metformin in 406 patients, examining pulmonary valve parameters. Results: favorable safety profile. Conclusion: therapeutic innovation.;synthetic data;neurological|cardiovascular;;3547;synthetic data|neurological|cardiovascular
1301;15625689;Swallowing abnormalities and dyskinesia in Parkinson's disease.;Gastrointestinal abnormalities in Parkinson's disease (PD) have been known for almost two centuries, but many aspects concerning their pathophysiology have not been completely clarified. The aim of this study was to characterize the oropharyngeal dynamics in PD patients with and without levodopa-induced dyskinesia. Fifteen dyskinetic, 12 nondyskinetic patients, and a control group were included. Patients were asked about dysphagia and evaluated with the Unified Parkinson's Disease Rating Scale Parts II and III and the Hoehn and Yahr scale. Deglutition was assessed using modified barium swallow with videofluoroscopy. Nondyskinetic patients, but not the dyskinetic ones, showed less oropharyngeal swallowing efficiency (OPSE) for liquid food than controls (Dunnett, P = 0.02). Dyskinetic patients tended to have a greater OPSE than nondyskinetic (Dunnett, P = 0.06). Patients who were using a higher dose of levodopa had a greater OPSE and a trend toward a smaller oral transit time (Pearson's correlation, P = 0.01 and 0.08, respectively). Neither the report of dysphagia nor any of the PD severity parameters correlated to the videofluoroscopic variables. In the current study, dyskinetic patients performed better in swallowing function, which could be explained on the basis of a greater levodopa dose. Our results suggest a role for levodopa in the oral phase of deglutition and confirm that dysphagia is not a good predictor of deglutition alterations in PD.;bc5cdr;neurological;;1302;bc5cdr|neurological
3805;1002076;Cancer's cellular angina pectoris;Aim: To investigate aspirin effects on hypertension through thyroid cancer analysis. Methods: 365 elderly patients underwent longitudinal evaluation with lymphoma and hormone therapy assessment. Results: improved patient outcomes. Conclusion: need for further investigation.;synthetic data;oncological;;3806;synthetic data|oncological
997;24464946;Two-dimensional speckle tracking echocardiography combined with high-sensitive cardiac troponin T in early detection and prediction of cardiotoxicity during epirubicine-based chemotherapy.;"AIMS: To investigate whether alterations of myocardial strain and high-sensitive cardiac troponin T (cTnT) could predict future cardiac dysfunction in patients after epirubicin exposure. METHODS: Seventy-five patients with non-Hodgkin lymphoma treated with epirubicin were studied. Blood collection and echocardiography were performed at baseline, 1 day after the third cycle, and 1 day after completion of chemotherapy. Patients were studied using echocardiography during follow-up. Global longitudinal (GLS), circumferential (GCS), and radial strain (GRS) were calculated using speckle tracking echocardiography. Left ventricular ejection fraction was analysed by real-time 3D echocardiography. Cardiotoxicity was defined as a reduction of the LVEF of >5% to <55% with symptoms of heart failure or an asymptomatic reduction of the LVEF of >10% to <55%. RESULTS: Fourteen patients (18.67%) developed cardiotoxicity after treatment. GLS (-18.48 + 1.72% vs. -15.96 + 1.6%), GCS (-20.93 + 2.86% vs. -19.20 + 3.21%), and GRS (39.23 + 6.44% vs. 34.98 + 6.2%) were markedly reduced and cTnT was elevated from 0.0010 + 0.0020 to 0.0073 + 0.0038 ng/mL (P all < 0.01) at the completion of chemotherapy compared with baseline values. A >15.9% decrease in GLS [sensitivity, 86%; specificity, 75%; area under the curve (AUC) = 0.815; P = 0.001] and a >0.004 ng/mL elevation in cTnT (sensitivity, 79%; specificity, 64%; AUC = 0.757; P = 0.005) from baseline to the third cycle of chemotherapy predicted later cardiotoxicity. The decrease in GLS remained the only independent predictor of cardiotoxicity (P = 0.000). CONCLUSIONS: GLS combined with cTnT may provide a reliable and non-invasive method to predict cardiac dysfunction in patients receiving anthracycline-based chemotherapy.";bc5cdr;neurological|cardiovascular|oncological;;998;bc5cdr|neurological|cardiovascular|oncological
3286;1001826;hypertension and jaundice: organ interplay;Purpose: This prospective study examined aspirin for diabetes in cardiac patients. The investigation included analysis of renal, interstitial nephritis, and hemodialysis. Methods: 427 participants were included. Results: superior clinical efficacy. Implications: need for further investigation.;synthetic data;hepatorenal;;3287;synthetic data|hepatorenal
1824;1000022;Vascular variations in coronary artery disease;Objective: To assess the efficacy of aspirin in hypertension, with focus on pericardium and coronary artery disease. Methods: 481 adult population were randomized to receive aspirin or placebo, with sinoatrial node monitoring. Results: reduction in adverse events. Conclusion: treatment optimization.;synthetic data;cardiovascular;;1825;synthetic data|cardiovascular
3838;1002142;myeloproliferative neoplasm in cancer's peripheral artery disease;Study design: retrospective investigation of statins in diabetes. Participants: 229 diabetic patients with sarcoma and endometrial cancer evaluation. Results: better quality of life measures with skin cancer correlation. Conclusion: patient care improvement.;synthetic data;oncological;;3839;synthetic data|oncological
1943;1000260;aortic valve markers in breast cancer;Hypothesis: beta-blockers improves stroke outcomes via bradycardia pathways. Methods: cross-sectional trial with 215 adult population, measuring arrhythmia and atrial flutter. Results: reduction in adverse events. Conclusion: therapeutic innovation.;synthetic data;cardiovascular;;1944;synthetic data|cardiovascular
2637;1001080;Cognitive connections: chronic kidney disease and chorea;Hypothesis: beta-blockers improves hypertension outcomes via alzheimer disease pathways. Methods: randomized controlled trial with 285 adult population, measuring neurotransmitter and delirium. Results: decreased mortality rates. Conclusion: therapeutic innovation.;synthetic data;neurological;;2638;synthetic data|neurological
1896;1000166;heart attack markers in angina pectoris;Research question: How does aspirin affect diabetes through diastolic mechanisms? Methods: randomized controlled study with 489 adult population, assessing peripheral artery disease and bundle branch block. Results: positive treatment response. Implications: treatment optimization.;synthetic data;cardiovascular;;1897;synthetic data|cardiovascular
3296;1001846;Next-generation MRI in atrial fibrillation research;Hypothesis: ACE inhibitors improves dementia outcomes via wilms tumor pathways. Methods: randomized controlled trial with 153 cardiac patients, measuring polyuria and gallbladder. Results: improved disease management. Conclusion: treatment optimization.;synthetic data;hepatorenal;;3297;synthetic data|hepatorenal
2885;1001576;When neural meets lymphoma: a neurological perspective;Hypothesis: statins improves cancer outcomes via brain abscess pathways. Methods: observational trial with 83 diabetic patients, measuring guillain-barre syndrome and tremor. Results: superior clinical efficacy. Conclusion: cost-effectiveness implications.;synthetic data;neurological;;2886;synthetic data|neurological
2581;1000968;Synaptic stories: atrial fibrillation and neurodegenerative;Aim: To investigate aspirin effects on heart disease through myasthenia gravis analysis. Methods: 363 elderly patients underwent prospective evaluation with oligodendroglioma and norepinephrine assessment. Results: significant improvement in primary endpoints. Conclusion: therapeutic innovation.;synthetic data;neurological;;2582;synthetic data|neurological
2756;1001318;Cognitive connections: diabetes mellitus and palsy;Hypothesis: metformin improves hypertension outcomes via gaba pathways. Methods: longitudinal trial with 163 adult population, measuring white matter and myasthenia gravis. Results: better quality of life measures. Conclusion: patient care improvement.;synthetic data;neurological;;2757;synthetic data|neurological
3559;1001750;hepatitis and aortic aneurysm: cardiac connections;Hypothesis: beta-blockers improves hypertension outcomes via hypertensive pathways. Methods: longitudinal trial with 148 cardiac patients, measuring hypotensive and pkd. Results: improved patient outcomes. Conclusion: healthcare advancement.;synthetic data;cardiovascular|hepatorenal;;3560;synthetic data|cardiovascular|hepatorenal
2019;1000412;hypotension and coronary artery disease: vascular insights;Study design: randomized controlled investigation of metformin in hypertension. Participants: 476 cardiac patients with ectopic beat and atrioventricular block evaluation. Results: improved patient outcomes with bradycardia correlation. Conclusion: healthcare advancement.;synthetic data;cardiovascular;;2020;synthetic data|cardiovascular
456;9927033;Human MLH1 deficiency predisposes to hematological malignancy and neurofibromatosis type 1.;Heterozygous germ-line mutations in the DNA mismatch repair genes lead to hereditary nonpolyposis colorectal cancer . The disease susceptibility of individuals who constitutionally lack both wild-type alleles is unknown . We have identified three offspring in a hereditary nonpolyposis colorectal cancer family who developed hematological malignancy at a very early age , and at least two of them displayed signs of neurofibromatosis type 1 ( NF1 ) . DNA sequence analysis and allele-specific amplification in two siblings revealed a homozygous MLH1 mutation ( C676T-- > Arg226Stop ) . Thus , a homozygous germ-line MLH1 mutation and consequent mismatch repair deficiency results in a mutator phenotype characterized by leukemia and / or lymphoma associated with neurofibromatosis type 1 . .;NCBI;neurological|oncological;;457;NCBI|neurological|oncological
1625;6292680;Doxorubicin cardiomyopathy in children with left-sided Wilms tumor.;Two children with Wilms tumor of the left kidney experienced severe anthracycline cardiomyopathy after irradiation to the tumor bed and conventional dosage of doxorubicin. The cardiomyopathy is attributed 1) to the fact that radiation fields for left Wilms tumor include the lower portion of the heart and 2) to the interaction of doxorubicin and irradiation on cardiac muscle. It is recommended that doxorubicin dosage be sharply restricted in children with Wilms tumor of the left kidney who receive postoperative irradiation.;bc5cdr;neurological|cardiovascular|hepatorenal|oncological;;1626;bc5cdr|neurological|cardiovascular|hepatorenal|oncological
395;9342365;Cell cycle-dependent colocalization of BARD1 and BRCA1 proteins in discrete nuclear domains.;"Germ-line mutations of the BRCA1 gene predispose women to early-onset breast and ovarian cancer by compromising the genes presumptive function as a tumor suppressor . Although the biochemical properties of BRCA1 polypeptides are not understood , their expression pattern and subcellular localization suggest a role in cell-cycle regulation . When resting cells are induced to proliferate , the steady-state levels of BRCA1 increase in late G1 and reach a maximum during S phase . Moreover , in S phase cells , BRCA1 polypeptides are hyperphosphorylated and accumulate into discrete subnuclear foci termed "" BRCA1 nuclear dots . "" BRCA1 associates in vivo with a structurally related protein termed BARD1 . Here we show that the steady-state levels of BARD1 , unlike those of BRCA1 , remain relatively constant during cell cycle progression . However , immunostaining revealed that BARD1 resides within BRCA1 nuclear dots during S phase of the cell cycle , but not during the G1 phase . Nevertheless , BARD1 polypeptides are found exclusively in the nuclear fractions of both G1- and S-phase cells . Therefore , progression to S phase is accompanied by the aggregation of nuclear BARD1 polypeptides into BRCA1 nuclear dots . This cell cycle-dependent colocalization of BARD1 and BRCA1 indicates a role for BARD1 in BRCA1-mediated tumor suppression .";NCBI;oncological;;396;NCBI|oncological
1833;1000040;Cardiac output in chronic kidney disease;This investigation examined the effects of ACE inhibitors on stroke in cardiac patients. The research focused on pe and myocardial aspects of the disease. A total of 269 participants were enrolled in this observational study. Results demonstrated improved patient outcomes with particular attention to myocardium. These findings suggest potential therapeutic benefits.;synthetic data;cardiovascular;;1834;synthetic data|cardiovascular
1215;8957205;Human corticotropin-releasing hormone and thyrotropin-releasing hormone modulate the hypercapnic ventilatory response in humans.;"Human corticotropin-releasing hormone (hCRH) and thyrotropin-releasing hormone (TRH) are known to stimulate ventilation after i.v. administration in humans. In a placebo-controlled, single-blind study we aimed to clarify if both peptides act by altering central chemosensitivity. Two subsequent CO2-rebreathing tests were performed in healthy young volunteers. During the first test 0.9% NaCl was given i.v.; during the second test 200 micrograms of hCRH (n = 12) or 400 micrograms of TRH (n = 6) was administered i.v. Nine subjects received 0.9% NaCl i.v. during both rebreathing manoeuvres. The CO2-response curves for the two tests were compared within the same subject. In the hCRH group a marked parallel shift of the CO2-response curve to the left was observed after hCRH (P < 0.01). The same effect occurred following TRH but was less striking (P = 0.05). hCRH and TRH caused a reduction in the CO2 threshold. The CO2-response curves in the control group were nearly identical. The results indicate an additive effect of both releasing hormones on the hypercapnic ventilatory response in humans, presumably independent of central chemosensitivity.";bc5cdr;neurological;;1216;bc5cdr|neurological
