pmid;title;abstract;source;group;Manual
10078732;Neurophysiologic follow-up of long-term dietary treatment in adult-onset adrenoleukodystrophy .;OBJECTIVE  To monitor the effects of dietary treatment in adult-onset adrenoleukodystrophy ( ALD ) by means of somatosensory evoked potentials ( SEPs ) and motor evoked potentials ( MEPs ) . BACKGROUND  SEPs and MEPs have proved useful in revealing signs of progressively severe , central dying-back axonopathy in early stages of adult-onset ALD . METHODS  Eight patients with adult-onset ALD underwent clinical examination , brain and spine MRI , and SEP and MEP studies before and after 3 years of Lorenzos oil dietary therapy . RESULTS  Before treatment , brain MRI was normal in five patients . Three of these patients had pure spinal SEP abnormalities and in the remaining two patients SEPs showed signs of involvement of both the spinal and cerebral somatosensory tracts . After treatment , the three patients with pure spinal abnormalities showed clinical and neurophysiologic worsening , whereas the two patients with a more advanced stage of disease ( exhibited by SEPs ) showed substantially unchanged clinical and neurophysiologic features . The patients with abnormal brain MRI at the onset of treatment showed clinical and neurophysiologic worsening . CONCLUSIONS  Lorenzos oil therapy had no effect on patients with evidence of inflammatory brain lesions . Moreover , in patients without clear signs of inflammatory damage , this treatment does not modify significantly the natural course of the disease . However , because effective treatments should begin before the onset of severe neurologic symptoms , SEPs and MEPs should be considered to evaluate the effectiveness of other experimental treatments in the patient with a negative brain MRI .;NCBI;neurological;
10078749;GCH1 mutation in a patient with adult-onset oromandibular dystonia .;The authors report a mutation in exon 5 of GCH1 in a patient with adult-onset oromandibular dystonia and no obvious family history of dystonia . The patient responded positively to treatment with L-dopa . These findings demonstrate that GCH1 mutations must be considered even in patients with dystonic symptoms not typical of dopa-responsive dystonia .;NCBI;neurological;
10094552;A retrospective anonymous pilot study in screening newborns for HFE mutations in Scandinavian populations .;We have retrospectively analyzed 837 random anonymized dried blood spot ( DBS ) samples from neonatal screening programs in Scandinavia for mutations in HFE , the candidate gene for hemochromatosis . We have found C282Y allele frequencies of 2 . 3 % ( + 2 . 0 % ) ( -1 . 3 % ) in Greenland , 4 . 5 % + / -1 . 9 % in Iceland , 5 . 1 % + / -2 . 3 % in the Faeroe Islands , and 8 . 2 % + / -2 . 7 % in Denmark . The high prevalence of HFE mutations in Denmark suggests that population screening for the C282Y mutation could be highly advantageous in terms of preventive health care . Long-term follow-up evaluation of C282Y homozygotes and H63D / C282Y compound heterozygotes will give an indication of the penetrance of the mutations .;NCBI;neurological;
10190819;Mutational analysis and genotype-phenotype correlation of 29 unrelated Japanese patients with X-linked adrenoleukodystrophy.;BACKGROUND  X-linked adrenoleukodystrophy ( ALD ) is an inherited disease characterized by progressive neurologic dysfunction , occasionally associated with adrenal insufficiency . The classic form of ALD usually has onset in childhood ( childhood cerebral ALD ) , with rapid neurologic deterioration leading to a vegetative state . Adult-onset cerebral ALD also presents with rapidly progressive neurologic dysfunction . Milder phenotypes such as adrenomyeloneuropathy and Addison disease only also have been recognized . Despite discovery of the causative gene , a molecular basis for the diverse clinical presentations remains to be elucidated . OBJECTIVES  To conduct mutational analyses in 29 Japanese patients with ALD from 29 unrelated families , to obtain knowledge of the spectrum of mutations in this gene , and to study genotype-phenotype correlations in Japanese patients . METHODS  The 29 patients comprised 13 patients with childhood cerebral ALD , 11 patients with adult-onset cerebral ALD , and 5 patients with adrenomyeloneuropathy . We conducted detailed mutational analyses of 29 unrelated Japanese patients with ALD by genomic Southern blot analysis and direct nucleotide sequence analysis of reverse transcriptase-polymerase chain reaction products derived from total RNA that was extracted from cultured skin fibroblasts , lymphoblastoid cells , or peripheral blood leukocytes . RESULTS  Three patients with adult-onset cerebral ALD were identified as having large genomic rearrangements . The remaining 26 patients were identified as having 21 independent mutations , including 12 novel mutations resulting in small nucleotide alterations in the ALD gene . Eighteen ( 69 % ) of 26 mutations were missense mutations . Most missense mutations involved amino acids conserved in homologous gene products , including PMP70 , mALDRP , and Pxa1p . The AG dinucleotide deletion at position 1081-1082 , which has been reported previously to be the most common mutation in white patients ( 12 % -17 % ) , was also identified as the most common mutation in Japanese patients ( 12 % ) . All phenotypes were associated with mutations resulting in protein truncation or subtle amino acid changes . There were no differences in phenotypic expressions between missense mutations involving conserved amino acids and those involving nonconserved amino acids . CONCLUSIONS  There are no obvious correlations between the phenotypes of patients with ALD and their genotypes , suggesting that other genetic or environmental factors modify the phenotypic expressions of ALD . .;NCBI;neurological|hepatorenal;
10192393;A common human skin tumour is caused by activating mutations in beta-catenin.;WNT signalling orchestrates a number of developmental programs . In response to this stimulus , cytoplasmic beta-catenin ( encoded by CTNNB1 ) is stabilized , enabling downstream transcriptional activation by members of the LEF / TCF family . One of the target genes for beta-catenin / TCF encodes c-MYC , explaining why constitutive activation of the WNT pathway can lead to cancer , particularly in the colon . Most colon cancers arise from mutations in the gene encoding adenomatous polyposis coli ( APC ) , a protein required for ubiquitin-mediated degradation of beta-catenin , but a small percentage of colon and some other cancers harbour beta-catenin-stabilizing mutations . Recently , we discovered that transgenic mice expressing an activated beta-catenin are predisposed to developing skin tumours resembling pilomatricomas . Given that the skin of these adult mice also exhibits signs of de novo hair-follicle morphogenesis , we wondered whether human pilomatricomas might originate from hair matrix cells and whether they might possess beta-catenin-stabilizing mutations . Here , we explore the cell origin and aetiology of this common human skin tumour . We found nuclear LEF-1 in the dividing tumour cells , providing biochemical evidence that pilomatricomas are derived from hair matrix cells . At least 75 % of these tumours possess mutations affecting the amino-terminal segment , normally involved in phosphorylation-dependent , ubiquitin-mediated degradation of the protein . This percentage of CTNNB1 mutations is greater than in all other human tumours examined thus far , and directly implicates beta-catenin / LEF misregulation as the major cause of hair matrix cell tumorigenesis in humans . .;NCBI;neurological|oncological;
10192399;The Pendred syndrome gene encodes a chloride-iodide transport protein.;"Pendred syndrome is the most common form of syndromic deafness and characterized by congenital sensorineural hearing loss and goitre . This disorder was mapped to chromosome 7 and the gene causing Pendred syndrome ( PDS ) was subsequently identified by positional cloning . PDS encodes a putative transmembrane protein designated pendrin . Pendrin is closely related to a family of sulfate transport proteins that includes the rat sulfate-anion transporter ( encoded by Sat-1 ; 29 % amino acid sequence identity ) , the human diastrophic dysplasia sulfate transporter ( encoded by DTD ; 32 % ) and the human sulfate transporter downregulated in adenoma ( encoded by DRA ; 45 % ) . On the basis of this homology and the presence of a slightly modified sulfate-transporter signature sequence comprising its putative second transmembrane domain , pendrin has been proposed to function as a sulfate transporter . We were unable to detect evidence of sulfate transport following the expression of pendrin in Xenopus laevis oocytes by microinjection of PDS cRNA or in Sf9 cells following infection with PDS-recombinant baculovirus . The rates of transport for iodide and chloride were significantly increased following the expression of pendrin in both cell systems . Our results demonstrate that pendrin functions as a transporter of chloride and iodide , but not sulfate , and may provide insight into thyroid physiology and the pathophysiology of Pendred syndrome . .";NCBI;neurological;
10196379;Germline BRCA1 alterations in a population-based series of ovarian cancer cases.;The objective of this study was to provide more accurate frequency estimates of breast cancer susceptibility gene 1 ( BRCA1 ) germline alterations in the ovarian cancer population . To achieve this , we determined the prevalence of BRCA1 alterations in a population-based series of consecutive ovarian cancer cases . This is the first population-based ovarian cancer study reporting BRCA1 alterations derived from a comprehensive screen of the entire coding region . One hundred and seven ovarian cancer cases were analyzed for BRCA1 alterations using the RNase mismatch cleavage assay followed by direct sequencing . Two truncating mutations , 962del4 and 3600del11 , were identified . Both patients had a family history of breast or ovarian cancer . Several novel as well as previously reported uncharacterized variants were also identified , some of which were associated with a family history of cancer . The frequency distribution of common polymorphisms was determined in the 91 Caucasian cancer cases in this series and 24 sister controls using allele-specific amplification . The rare form of the Q356R polymorphism was significantly ( P = 0 . 03 ) associated with a family history of ovarian cancer , suggesting that this polymorphism may influence ovarian cancer risk . In summary , our data suggest a role for some uncharacterized variants and rare forms of polymorphisms in determining ovarian cancer risk , and highlight the necessity to screen for missense alterations as well as truncating mutations in this population .;NCBI;neurological|oncological;
10196381;Adrenoleukodystrophy-related protein can compensate functionally for adrenoleukodystrophy protein deficiency (X-ALD): implications for therapy.;Inherited defects in the peroxisomal ATP-binding cassette ( ABC ) transporter adrenoleukodystrophy protein ( ALDP ) lead to the lethal peroxisomal disorder X-linked adrenoleukodystrophy ( X-ALD ) , for which no efficient treatment has been established so far . Three other peroxisomal ABC transporters currently are known  adrenoleukodystrophy-related protein ( ALDRP ) , 70 kDa peroxisomal membrane protein ( PMP70 ) and PMP70- related protein . By using transient and stable overexpression of human cDNAs encoding ALDP and its closest relative ALDRP , we could restore the impaired peroxisomal beta-oxidation in fibroblasts of X-ALD patients . The pathognomonic accumulation of very long chain fatty acids could also be prevented by overexpression of ALDRP in immortalized X-ALD cells . Immunofluorescence analysis demonstrated that the functional replacement of ALDP by ALDRP was not due to stabilization of the mutated ALDP itself . Moreover , we were able to restore the peroxisomal beta-oxidation defect in the liver of ALDP-deficient mice by stimulation of ALDRP and PMP70 gene expression through a dietary treatment with the peroxisome proliferator fenofibrate . These results suggest that a correction of the biochemical defect in X-ALD could be possible by drug-induced overexpression or ectopic expression of ALDRP . .;NCBI;neurological|hepatorenal;
10198641;Centrosome amplification and a defective G2-M cell cycle checkpoint induce genetic instability in BRCA1 exon 11 isoform-deficient cells.;Germline mutations of the Brca1 tumor suppressor gene predispose women to breast and ovarian cancers . To study mechanisms underlying BRCA1-related tumorigenesis , we derived mouse embryonic fibroblast cells carrying a targeted deletion of exon 11 of the Brca1 gene . We show that the mutant cells maintain an intact G1-S cell cycle checkpoint and proliferate poorly . However , a defective G2-M checkpoint in these cells is accompanied by extensive chromosomal abnormalities . Mutant fibroblasts contain multiple , functional centrosomes , which lead to unequal chromosome segregation , abnormal nuclear division , and aneuploidy . These data uncover an essential role of BRCA1 in maintaining genetic stability through the regulation of centrosome duplication and the G2-M checkpoint and provide a molecular basis for the role of BRCA1 in tumorigenesis . .;NCBI;neurological|oncological;
10205262;Analysis of alkaptonuria (AKU) mutations and polymorphisms reveals that the CCC sequence motif is a mutational hot spot in the homogentisate 1,2 dioxygenase gene (HGO).;"We recently showed that alkaptonuria ( AKU ) is caused by loss-of-function mutations in the homogentisate 1 , 2 dioxygenase gene ( HGO ) . Herein we describe haplotype and mutational analyses of HGO in seven new AKU pedigrees . These analyses identified two novel single-nucleotide polymorphisms ( INV4 + 31A-- > G and INV11 + 18A-- > G ) and six novel AKU mutations ( INV1-1G-- > A , W60G , Y62C , A122D , P230T , and D291E ) , which further illustrates the remarkable allelic heterogeneity found in AKU . Reexamination of all 29 mutations and polymorphisms thus far described in HGO shows that these nucleotide changes are not randomly distributed ; the CCC sequence motif and its inverted complement , GGG , are preferentially mutated . These analyses also demonstrated that the nucleotide substitutions in HGO do not involve CpG dinucleotides , which illustrates important differences between HGO and other genes for the occurrence of mutation at specific short-sequence motifs . Because the CCC sequence motifs comprise a significant proportion ( 34 . 5 % ) of all mutated bases that have been observed in HGO , we conclude that the CCC triplet is a mutational hot spot in HGO .";NCBI;neurological;
10208645;Pharmacokinetics of chlorpheniramine, phenytoin, glipizide and nifedipine in an individual homozygous for the CYP2C9*3 allele.;Genetic polymorphisms in the cytochrome P450 ( CYP ) family are widely known to contribute to interindividual differences in the pharmacokinetics of many drugs . Several alleles for the CYP2C9 gene have been reported . Individuals homozygous for the Leu359 variant ( CYP2C9 * 3 ) have been shown to have significantly lower drug clearances compared with Ile359 ( CYP2C9 * 1 ) homozygous individuals . A male Caucasian who participated in six bioavailability studies in our laboratory over a period of several years showed extremely low clearance of two drugs  phenytoin and glipizide ( both substrates of CYP2C9 ) , but not for nifedipine ( a CYP3A4 substrate ) and chlorpheniramine ( a CYP2D6 substrate ) . His oral clearance of phenytoin was 21 % of the mean of the other 11 individuals participating in the study , and his oral clearance of glipizide , a second generation sulfonylurea structurally similar to tolbutamide , was only 188 % of the mean of the other 10 individuals . However , his oral clearance of nifedipine and chlorpheniramine did not differ from individuals in other studies performed at our laboratories . An additional blood sample was obtained from this individual to determine if he possessed any of the known CYP2C9 or CYP2C19 allelic variants that would account for his poor clearance of the CYP2C9 substrates ( phenytoin and glipizide ) compared with the CYP3A4 ( nifedipine ) and CYP2D6 ( chlorpheniramine ) substrates . The results of the genotype testing showed that this individual was homozygous for the CYP2C9 * 3 allele and did not possess any of the known defective CYP2C19 alleles . This study establishes that the Leu359 mutation is responsible for the phenytoin and glipizide / tolbutamide poor metabolizer phenotype . .;NCBI;neurological;
10208848;Fabry disease: identification of novel alpha-galactosidase A mutations and molecular carrier detection by use of fluorescent chemical cleavage of mismatches.;Fabry disease ( FD ) ( angiokeratoma corporis diffusum ) is an X-linked inborn error of glycosphingolipid metabolism caused by defects in the lysosomal alpha-galactosidase A gene ( GLA ) . The enzymatic defect leads to the systemic accumulation of neutral glycosphingolipids with terminal alpha-galactosyl moieties . Clinically , affected hemizygous males have angiokeratoma , severe acroparesthesia , renal failure , and vasculopathy of the heart and brain . While demonstration of alpha-galactosidase deficiency in leukocytes is diagnostic in affected males , enzymatic detection of female carriers is often inconclusive , due to random X-chromosomal inactivation , underlining the need of molecular investigations for accurate genetic counseling . By use of chemical cleavage of mismatches adapted to fluorescence-based detection systems , we have characterized the mutations underlying alpha-Gal A deficiency in 16 individuals from six unrelated families with FD . The mutational spectrum included five missense mutations ( C202W , C223G , N224D , R301Q , and Q327K ) and one splice-site mutation [ IVS3 G ( -1 ) -- > C ] . Studies at the mRNA level showed that the latter led to altered pre-mRNA splicing with consequent alteration of the mRNA translational reading frame and generation of a premature termination codon of translation . By use of this strategy , carrier status was accurately assessed in all seven at-risk females tested , whereas enzymatic dosages failed to diagnose or exclude heterozygosity . .;NCBI;neurological|cardiovascular|hepatorenal;
10213492;Dominant negative effect of the APC1309 mutation: a possible explanation for genotype-phenotype correlations in familial adenomatous polyposis.;Inactivation of the adenomatous polyposis coli ( APC ) gene product initiates colorectal tumorigenesis . Patients with familial APC ( FAP ) carry germ-line mutations in the APC gene and develop multiple colorectal adenomas and subsequent carcinomas early in life . The severity of the disease correlates with the position of the inherited APC mutation ( genotype-phenotype correlation ) . Together with the fact that both germ-line and sporadic APC mutations cluster in the central region of the APC gene , this points to a dominant negative effect of certain APC mutants . Loss of APC function was recently shown to result in enhanced beta-catenin- / Tcf-mediated transcription in colon epithelial cells . Here , we provide experimental evidence for a dominant negative effect of APC gene products associated with severe polyposis . Wild-type APC activity in beta-catenin- / Tcf-mediated transcription was strongly inhibited by a mutant APC that is truncated at codon 1309 . In contrast , mutant APC gene products that are associated with attenuated polyposis ( codon 386 or 1465 ) interfered only weakly with wild-type APC activity . These results suggest a molecular explanation for the genotype-phenotype correlation in FAP patients and support the idea that colorectal tumor growth might be , in part , driven by selection for a mutation in the mutation cluster region . .;NCBI;oncological;
10220405;BRCA1 interacts with components of the histone deacetylase complex.;Germ-line mutations in the BRCA1 tumor-suppressor gene are associated with an increased susceptibility to breast and ovarian cancer . BRCA1 contains a carboxyl-terminal domain ( BRCT ) that is shared with several other proteins involved in maintaining genome integrity . In an effort to understand the function of BRCA1 , we sought to isolate proteins that interact with the BRCT domain . Purified BRCT polypeptide was used as a probe to screen a human placenta cDNA expression library by Far Western analysis . Here we report that BRCA1 interacts in vivo and in vitro with the Rb-binding proteins , RbAp46 and RbAp48 , as well as with Rb . Moreover , the BRCT domain associates with the histone deacetylases HDAC1 and HDAC2 . These results demonstrate that BRCA1 interacts with components of the histone deacetylase complex , and therefore may explain the involvement of BRCA1 in multiple processes such as transcription , DNA repair , and recombination . .;NCBI;oncological;
